dir,entry_bar,entry_price,sl,tp,exit_bar,result,r,setup
long,96028,1.16305,1.16234,1.1648,96033,Win,2.45,C
long,96133,1.17385,1.17283,1.17636,96142,Lose,-1.0,C
short,96200,1.17372,1.17468,1.17138,96201,Win,2.45,A
long,96273,1.17766,1.17693,1.17946,96289,Lose,-1.0,C
short,96342,1.17759,1.1784,1.1756,96353,Win,2.45,A
long,96395,1.17322,1.17228,1.17551,96397,Lose,-1.0,C
short,96538,1.16716,1.16824,1.16451,96539,Lose,-1.0,A
short,96712,1.17309,1.17385,1.17122,96713,Lose,-1.0,A
short,97121,1.18781,1.18858,1.18593,97122,Win,2.45,A
short,97243,1.17869,1.18013,1.17516,97251,Lose,-1.0,A
long,97339,1.17815,1.17718,1.18052,97348,Win,2.45,C
long,97452,1.15819,1.15674,1.16175,97453,Win,2.45,C
short,97698,1.1519,1.15466,1.14514,97702,Lose,-1.0,A
long,99451,1.13939,1.13805,1.14268,99452,Win,2.45,C
short,99493,1.14191,1.14328,1.13855,99497,Lose,-1.0,A
short,99556,1.14453,1.14546,1.14227,99572,Win,2.45,A
long,99855,1.14034,1.13977,1.14173,99856,Lose,-1.0,C
